['INFO ]2023-07-03 14:07:33,786(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user enter invalid {string} and {string}
['INFO ]2023-07-03 14:07:34,042(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-click login button to verify and pagetitle is 
['INFO ]2023-07-03 14:07:34,148(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 14:07:34,292(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user enter invalid {string} and {string}
['INFO ]2023-07-03 14:07:34,540(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-click login button to verify and pagetitle is 
['INFO ]2023-07-03 14:07:34,643(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 14:07:35,772(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user enter sheet {string} and {int}
['INFO ]2023-07-03 14:07:35,992(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-click login button to verify title of the page {string}
['INFO ]2023-07-03 14:07:36,116(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 14:07:36,344(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user enter sheet {string} and {int}
['INFO ]2023-07-03 14:07:36,700(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-click login button to verify title of the page {string}
['INFO ]2023-07-03 14:07:36,853(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 14:07:37,053(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user enter sheet {string} and {int}
['INFO ]2023-07-03 14:07:37,333(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-click login button to verify title of the page {string}
['INFO ]2023-07-03 14:07:37,447(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 14:07:37,698(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user enter sheet {string} and {int}
['INFO ]2023-07-03 14:07:37,914(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-click login button to verify title of the page {string}
['INFO ]2023-07-03 14:07:38,122(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user is in the Home page with valid  log in {string} and {string}
['INFO ]2023-07-03 14:07:38,322(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks Sign out
['INFO ]2023-07-03 14:07:39,029(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user is in the Home page after logged in
['INFO ]2023-07-03 14:07:39,221(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-User is clicks on Datastructuregetstarted button
['INFO ]2023-07-03 14:07:39,445(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on time complexity sub module
['INFO ]2023-07-03 14:07:39,996(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on tryhere button
['INFO ]2023-07-03 14:07:40,221(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends valid pythoncode and click on run button and print the output in console
['INFO ]2023-07-03 14:07:40,403(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user navigates refresh
['INFO ]2023-07-03 14:07:40,609(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends invalid syntax and click on run button and capture the alert messsage
['INFO ]2023-07-03 14:07:40,655(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user navigates back
['INFO ]2023-07-03 14:07:40,837(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on practice Questions
['INFO ]2023-07-03 14:07:40,868(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user navigates back
['INFO ]2023-07-03 14:07:41,555(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user is in the Home page after logged in
['INFO ]2023-07-03 14:07:41,814(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on the dropdown in array module
['INFO ]2023-07-03 14:07:42,401(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on array in python submodule and user clicks on tryhere button
['INFO ]2023-07-03 14:07:42,572(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends valid python code in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:42,902(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button and user get the output in the console
['INFO ]2023-07-03 14:07:43,143(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends invalid syntax in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:43,189(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button
['INFO ]2023-07-03 14:07:43,246(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user gets the alert message and navigates back
['INFO ]2023-07-03 14:07:43,691(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on array using list submodule and user clicks on tryhere button
['INFO ]2023-07-03 14:07:43,851(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends valid python code in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:44,157(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button and capture the output in console
['INFO ]2023-07-03 14:07:44,394(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends invalid syntax in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:44,454(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button
['INFO ]2023-07-03 14:07:44,520(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user gets the alert message and navigates back
['INFO ]2023-07-03 14:07:45,109(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on Basic operations in list and user clicks on tryhere button
['INFO ]2023-07-03 14:07:45,285(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends valid python code in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:45,591(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button and capture the output in console
['INFO ]2023-07-03 14:07:45,819(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends invalid syntax in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:45,869(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button
['INFO ]2023-07-03 14:07:45,931(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user gets the alert message and navigates back
['INFO ]2023-07-03 14:07:46,438(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on Application of array and user clicks on tryhere button
['INFO ]2023-07-03 14:07:46,597(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends valid python code in try editor from excel sheet {string} and {int}
['INFO ]2023-07-03 14:07:46,927(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks on run button and capture the output in console
['INFO ]2023-07-03 14:07:47,115(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user sends invalid syntax in try editor from excel sheet {string} and {int}
